All Packages,I9500-sysconf,slp-basefw,slp-sensorfw,slp-netfw,slp-winfw,slp-mmfw,slp-uifw,slp-api,slp-appfw,slp-apps
e17-extra-modules,,,,,,,x,,,
e17-extra-private-modules,,,,,,,x,,,
e17-misc,,,,,,,x,,,
earlyboot,,x,,,,,,,,
eas-engine,,x,,,,,,,,
ecore,,,,,,,x,,,
ecore-con,,,,,,,x,,,
ecore-evas,,,,,,,x,,,
ecore-fb,,,,,,,x,,,
ecore-file,,,,,,,x,,,
ecore-imf,,,,,,,x,,,
ecore-imf-evas,,,,,,,x,,,
ecore-input,,,,,,,x,,,
ecore-input-evas,,,,,,,x,,,
ecore-ipc,,,,,,,x,,,
ecore-tools,,,,,,,x,,,
ecore-x,,,,,,,x,,,
ed,,x,,,,,,,,
edbus,,,,,,,x,,,
edje,,,,,,,x,,,
edje-tools,,,,,,,x,,,
eet,,,,,,,x,,,
eet-tools,,,,,,,x,,,
efl-calendar,,,,,,,,,,x
efl-theme-blue-hd,,,,,,,x,,,
efl-theme-grey-hd,,,,,,,x,,,
efl-theme-tizen-black-hd,,,,,,,x,,,
efl-theme-tizen-hd,,,,,,,x,,,
efreet,,,,,,,x,,,
eina,,,,,,,x,,,
elektra,,,,,,,x,,,
elementary,,,,,,,x,,,
elementary-decarta,,,,,,,x,,,
elementary-tools,,,,,,,x,,,
elm-demo-slp,,,,,,,,,,x
elm-misc,,,,,,,x,,,
elm-webview,,,,,,,x,,,
email,,,,,,,,,,x
email-service,,x,,,,,,,,
embryo,,,,,,,x,,,
emotion,,,,,,,x,,,
emotion-gstreamer,,,,,,,x,,,
ethumb,,,,,,,x,,,
evas,,,,,,,x,,,
expedite,,,,,,,x,,,
face-recognition-engine,,,,,,x,,,,
factory-15,,x,,,,,,,,
factory-diag,,x,,,,,,,,
factory-lcd,,x,,,,,,,,
factory-reset,,x,,,,,,,,
farsight2,,x,,,,,,,,
ffmpeg,,,,,,x,,,,
fileviewer,,,,,,,,,,x
flashplugin,,,,,,x,,,,
fm-radio,,,,,,,,,,x
fontconfig,,x,,,,,,,,
fontpackages-filesystem,,x,,,,,,,,
freealut,,x,,,,,,,,
freetype,,x,,,,,,,,
fribidi,,x,,,,,,,,
fs-type-checker,,x,,,,,,,,
gconf-dbus,,x,,,,,,,,
gconf-dbus-utils,,x,,,,,,,,
gdb,,x,,,,,,,,
gdb-server,,x,,,,,,,,
geoclue,,,,x,,,,,,
geoclue-nominatim,,,,x,,,,,,
geoclue-pdr,,,,x,,,,,,
giflib,,,,,,x,,,,
giflib-utils,,,,,,x,,,,
glib-networking,,x,,,,,,,,
gps-manager,,,,x,,,,,,
gst-ffmpeg,,,,,,x,,,,
gst-openmax,,,,,,x,,,,
gst-plugins-bad,,,,,,x,,,,
gst-plugins-base,,,,,,x,,,,
gst-plugins-base-tools,,,,,,x,,,,
gst-plugins-ext0.10,,,,,,x,,,,
gst-plugins-good,,,,,,x,,,,
gst-plugins-s5pc2xx,,,,,,x,,,,
gst-plugins-savscodec-neon,,,,,,x,,,,
gst-plugins-ugly,,,,,,x,,,,
gstreamer,,,,,,x,,,,
gstreamer-tools,,,,,,x,,,,
gstreamer0.10-nice,,,,,,x,,,,
gstreamer0.10-plugins-extension,,,,,,x,,,,
gstreamer0.10-plugins-extension-dnse,,,,,,x,,,,
gstreamer0.10-plugins-extension-fimcconvert,,,,,,x,,,,
gstreamer0.10-plugins-extension-midi,,,,,,x,,,,
